HourDK,consumption,renewable_energies
2018-09-24 00:00,1967.9635859999992,3121.607078999999
2018-09-24 01:00,2067.116412999997,3247.600276999997
2018-09-24 02:00,1952.7808650000024,3587.352318000003
2018-09-24 03:00,1945.757000999995,3633.040298999995
2018-09-24 04:00,1928.862186000002,3412.587759000002
2018-09-24 05:00,2398.2661210000037,3181.8512040000037
2018-09-24 06:00,3051.859845999995,2998.0428659999952
2018-09-24 07:00,3900.6590800000035,3127.079264000003
2018-09-24 08:00,3863.5616489999975,3066.010350999998
2018-09-24 09:00,4020.249058000002,3899.5501320000026
2018-09-24 10:00,3793.6830240000027,4056.334951000003
2018-09-24 11:00,3517.300701000001,3693.796451000001
2018-09-24 12:00,3510.1176549999973,3624.982393999997
2018-09-24 13:00,3601.034015999995,3816.7103569999954
2018-09-24 14:00,3722.525536999995,3911.747147999995
2018-09-24 15:00,3443.959163999997,3974.3909749999975
2018-09-24 16:00,3838.3370680000053,4266.1709750000055
2018-09-24 17:00,4543.240341999999,3875.0953739999995
2018-09-24 18:00,4542.901016999998,3446.642506999998
2018-09-24 19:00,4822.401452999995,3324.254085999995
2018-09-24 20:00,5068.797881999995,3306.2122239999944
2018-09-24 21:00,4296.318062999996,3125.230176999996
2018-09-24 22:00,4058.7916469999955,2785.007913999996
2018-09-24 23:00,4096.669963,2560.73895
2018-09-25 00:00,3958.236984000004,2514.473025000004
2018-09-25 01:00,3716.5303860000004,2297.295867
2018-09-25 02:00,3568.490677,2068.574356
2018-09-25 03:00,3365.5316359999997,1814.646581
2018-09-25 04:00,3657.493235,1772.425785
2018-09-25 05:00,4111.4906550000005,1596.6889820000001
2018-09-25 06:00,4988.933666999999,1310.245015
2018-09-25 07:00,4496.269467,981.0753850000001
2018-09-25 08:00,3928.522178,791.7225430000001
2018-09-25 09:00,3901.084094,858.3674209999999
2018-09-25 10:00,4079.6590859999997,1173.0396189999997
2018-09-25 11:00,4051.8833339999996,1521.8309999999994
2018-09-25 12:00,4416.743763,1537.6253120000001
2018-09-25 13:00,4662.001054,1504.1643640000002
2018-09-25 14:00,4889.46453,1647.4441729999999
2018-09-25 15:00,5448.088522,1747.4000350000003
2018-09-25 16:00,5462.949027,1734.1412769999997
2018-09-25 17:00,5787.754619,1809.8378650000002
2018-09-25 18:00,5707.063916,1772.0215010000004
2018-09-25 19:00,5738.6524409999965,2095.511364999997
2018-09-25 20:00,5510.260031000005,2360.853458000005
2018-09-25 21:00,5183.385095999997,2483.048752999997
2018-09-25 22:00,4840.029735000004,2741.9097320000037
2018-09-25 23:00,4339.538353999995,3094.434935999995
2018-09-26 00:00,3868.5957970000004,3494.646057
2018-09-26 01:00,3606.4047540000056,3844.4794530000054
2018-09-26 02:00,3403.3459740000035,4059.648512000004
2018-09-26 03:00,3270.109546999996,4201.022891999996
2018-09-26 04:00,3421.204995000003,4440.572256000003
2018-09-26 05:00,3377.4316160000017,4443.394358000001
2018-09-26 06:00,4012.5515959999975,4694.890443999997
2018-09-26 07:00,4060.927366999995,4266.186826999995
2018-09-26 08:00,4086.503003999999,4307.423986999998
2018-09-26 09:00,4105.407351000001,4397.107742000001
2018-09-26 10:00,4183.281828999999,4639.906377999999
2018-09-26 11:00,4101.689022999998,4710.107957999998
2018-09-26 12:00,3698.9331710000015,4828.381744000001
2018-09-26 13:00,3411.0944070000005,4526.53038
2018-09-26 14:00,3256.770615000003,4414.116500000003
2018-09-26 15:00,3239.680654000001,4346.073787000001
2018-09-26 16:00,3398.7967189999954,4463.309636999996
2018-09-26 17:00,4081.6188129999973,4404.263047999997
2018-09-26 18:00,4102.189618999999,3929.880846999999
2018-09-26 19:00,3994.6136949999986,3729.5328469999986
2018-09-26 20:00,3640.2515749999993,3467.81086
2018-09-26 21:00,3452.886718000005,3249.025406000005
2018-09-26 22:00,3136.6213850000004,2971.793556000001
2018-09-26 23:00,2806.9167350000043,2842.5047500000037
2018-09-27 00:00,2705.451722000002,2593.8630700000017
2018-09-27 01:00,2632.339842999996,2387.8316129999957
2018-09-27 02:00,2697.639327,2262.169536
2018-09-27 03:00,2825.986645,2312.080246
2018-09-27 04:00,3467.2462800000003,2264.2080370000003
2018-09-27 05:00,3901.876793,2023.995204
2018-09-27 06:00,4906.60586,1853.820497
2018-09-27 07:00,5495.250574000001,2045.078626
2018-09-27 08:00,5641.253086999996,2549.265462999996
2018-09-27 09:00,5510.461044,3115.049068
2018-09-27 10:00,5412.270969000002,3516.9036880000017
2018-09-27 11:00,5320.231038000002,4039.8670200000015
2018-09-27 12:00,5010.838717999996,4479.7072139999955
2018-09-27 13:00,4888.040250000005,4601.393156000006
2018-09-27 14:00,4445.743260000004,4635.998071000004
2018-09-27 15:00,4340.889753,4683.662136
2018-09-27 16:00,4727.064714000001,4672.322890000001
2018-09-27 17:00,4814.456954999999,4553.013161999999
2018-09-27 18:00,4736.638463000003,4283.534234000003
2018-09-27 19:00,4653.604851999998,4231.279774999997
2018-09-27 20:00,4387.896599999996,4175.686783999998
2018-09-27 21:00,4154.3802030000015,4057.6940830000012
2018-09-27 22:00,3780.298518999994,3941.9068459999935
2018-09-27 23:00,3417.9519740000005,3816.458249
2018-09-28 00:00,3072.4672150000038,3716.3147490000038
2018-09-28 01:00,3079.0830549999964,3748.370011999996
2018-09-28 02:00,3816.1674870000043,3922.641319000004
2018-09-28 03:00,3942.476244000002,3902.831825000002
2018-09-28 04:00,4100.478063999998,3815.045784999998
2018-09-28 05:00,4444.281802999995,3755.732850999996
2018-09-28 06:00,5644.739295999996,3629.511295999996
2018-09-28 07:00,6185.850784999998,3458.350878999998
2018-09-28 08:00,6171.461253999999,3308.5895729999993
